"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923982668,0.0600016215412238,-40.3775627657356,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534801527,0.072417201204874,44.215397650576,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756504265,0.0575533659514424,-40.2016029261389,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024966,0.0538449071469663,-38.2511825051166,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801937253936,0.043167991455462,-43.7365582433295,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.6497920067325,0.0439354367472993,-37.5503722933609,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450833214979,0.0690717570320979,48.4207797203651,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794578303,0.0617086149207639,38.7674873087788,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686571,0.0388966410396152,47.1058098564245,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934629,0.0419164992747756,-43.9933327270008,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046262948,0.0552681284921996,41.0015776624192,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550042,0.0552183307901924,40.9741734877339,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.196058325696,0.0757850348989821,-42.1726839600482,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295761528,0.0543254346265028,38.2834112955381,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810361892,0.0505768627131952,-38.3261831523844,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.0373620504396,0.046297343058949,44.0060253100376,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.9505494949163,0.0435953841083544,44.7421105424439,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169455756,0.0653981296546786,38.59012035793,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311458491,0.0865185430493032,44.5945224989082,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774847487,0.0581377315994272,-41.3963132420974,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912759374,0.0696221032201348,-42.0008731759781,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576631294,0.040443548196912,-52.9712614699943,0,0,"AXL","558","AXL receptor tyrosine kinase"
